OPUIC,Stop name,Station abbreviation
8573910,"Ovronnaz, Chevaley",
8570317,"Thierrens, En Tombaz",
8584879,Tankstelle Garage Weinfelden,
8587832,"Obergetwing, Rottenbrücke",OGRB
8531413,Tête de Vaux,
8588301,"La Tzoumaz, Les Crus",
8530106,La Tzoumaz (téléc. Savoleyres),
8571809,"Le Cerneux-Péquignot, Le Creux",
8571815,"Le Cerneux-Péquignot, M-Lidor",
8593188,"Versoix, Montfleury",
8517219,Basel RB DG West,BSWW
8506073,"Buckten, Bahnhof",
8594864,"Boudry, Baconnière",
8589515,"Turtmann, Abzw. Bahnhof",TMAB
8504765,"Les Ponts-de-Martel, Gde-Rue",
8585099,"Romanshorn, Kantonsschule",
8518708,Äuli (B),AULI
8519080,Undrau (B),UNDR
8576245,"Regensdorf, Zentrum",
8505445,Cornaux Unterwerk,CXUW
8590899,"Wallisellen, Zentrum",
8570984,"Trient, rte de Litroz",
8531287,Blais Gronda,
8574908,"Thusis, Ruvria",
8587071,"Vésenaz, Pallanterie",
8592737,"Vésenaz, Petray",
8578278,"Sissach, Sekundarschule",
8593099,"Satigny, Pré-de-la-Fontaine",
8593488,"Les Marécottes, gare",
8530675,Les Marécottes (télécabine),
8530996,Belalp Schönbiel (Chiematte),
8570593,"Vouvry, poste",VOUP
8531365,Champoussin (télésiège),
8571880,"Les Taillères, restaurant",
8584711,"Laufen, Hofmatt",
8587388,"Satigny, Peney-Dessous",
8593094,"Satigny, Chemin du Paradis",
8593100,"Satigny, Rue Carrée",
8595672,"Satigny, Peney-Dessus",
8584792,Tankstelle Garage Laufen,
8501891,"Les Crosets, télécabine",
8531390,Siviez (Plan du Fou aval),
8519232,Erlen Stadler Rail,ERSR
8507328,Boudry Unterwerk,BOUW
8500740,"Champoussin, village",
8581447,"Leytron, Union",
8593109,"Thônex, Pont-Bochet",
8593122,"Thônex, Sillons",
8593113,"Thônex, Hôpital Trois-Chêne",
8530904,Oberterzen (2. Sekt. Talst.),
8580385,"Boveresse, piscine",
8579033,"Monthey-Ville, gare",MTHG
8571776,"Buttes, gare",
8570974,"Ravoire, Le Feylet",
8519544,"Pratteln, Tram (Wds)",
8587064,"Genthod, village",
8531113,Les Pas,
8583696,"La Châtagne, Milieu des Prés",
8504502,"Collombey-le-Grand, Chapelle",
8530115,Tortin (Siviez),
8530610,Alptrider Sattel,
8509731,"Trin, Porclis",
8583228,"Trin, Portalavanda",
8509723,"Trin Mulin, Crestasee",
8516121,Brig Contact Center Ausbild 1,BRC1
8571792,"Bôle, collèges",
8594863,"Bôle, Solitude",
8588242,"Boudry, Buchilles",
8519477,"Thônex, Moillesulaz (boucle)",
8593038,"Onex, marché",
8570658,"Daviaz, village",
8531409,Les Attelas (Lac-des-Vaux),
8583720,"Monthey, Reposieux",
8583719,"Monthey, place centrale",
8583381,"Monthey, Au-delà du Pont",
8592693,"Chêne-Bougeries, Castan",
8592699,"Chêne-Bougeries, Rue Chêne-B.",
8592706,"Chêne-Bougeries,Grange-Falquet",
8501177,Bercher,BERC
8570307,"Bercher, gare",
8517234,Varzo Sottocentrale,VARS
8531427,Melchtal Stöckalp (Cheselenf.),
8593120,"Thônex, Pierre à Bochet",
8593110,"Thônex, Cyprès",
8593111,"Thônex, Fossard",
8579972,"Monthey, piscine",
8570215,"Dommartin, village",
8592709,"Chêne-Bourg, Peillonnex",
8592716,"Chêne-Bourg, Stade Trois-Chêne",
8585096,"Erlen, Bahnhof",
8583730,"La Côte-aux-Fées, Les Tattets",
8571779,"La Côte-aux-Fées, Bolles-Vent",
8504543,"La Côte-aux-Fées,Les Bourquins",
8501175,Sugnens,SUGN
8509165,Alp Naraus (Talstation),
8530107,Riddes (téléphérique),
8501462,Collombey-Muraz,COMU
8501457,Monthey-Hôpital,MTHH
8586387,32 Extern BE Zentralbahn Stan,
8586386,32 Extern BE Zentralbahn Gisw,
8531410,Etablons de Riddes-Nord,
8506077,"Therwil, Löwenkreisel",
8509196,Stugl/Stuls,STGL
8509191,Solis,SOLI
8519600,Funtauna Cotschna (B),FUCO
8509213,Sagliaz (B),SAZ
8518503,Bergüner Stein (B),BEIN
8519759,Campocologno Confine,
8519578,"Basel, Schänzli (Wds)",
8503953,"Bibern SH, Dorf",
8592697,"Chêne-Bougeries, Montagne",
8587056,"Chêne-Bougeries, Malagnou",
8592691,"Chêne-Bougeries, C.-Florissant",
8501171,Etagnières,ETA
8576755,"Nendeln, Bahnhof",
8515159,Haspelgrube,HGR
8530871,Cavadura (Schwänzelegg),
8580502,"Netstal, Gemeinde",NEGD
8557064,"Glaubenberg, Passhöhe",
8577654,"Stalden OW, Abzw. Stockenmatt",
8531389,Siviez (Combartseline aval),
8578353,"Pratteln, Schloss",
8595703,"Pratteln, Rütscheten",
8573495,"Hofen SH, Reiatschulhaus",
8574059,"Haslen AI, Schiessegg",
8509755,"Bivio, posta",
8583644,"Savognin, Canetel",
8574646,"Fuldera, Daint",
8583669,"Netstal, Bahnhof",
8500963,"Ormalingen, Unterdorf",
8580848,"Schiers, Quadara/Feld",
8574765,"Schiers, Tersier",
8589873,"Goldau, Bernerhöhe",
8578373,"Beringen, Hägli",
8596079,"Beringen, Bifang",
8583070,"Lungern, Zihl",
8587662,"Lungern, Dorfkapelle",
8580493,"Glarus, Buchholz",
8580271,"Glarus, Lurigenstrasse",GLLU
8530879,Foppa (Naraus),
8570295,"Pailly, Bellevue",
8592750,"Cologny, Rippaz",
8592747,"Cologny, La Belotte",
8592752,"Cologny, Temple",
8587384,"Cologny, Gradelle",
8570238,"Echallens, gare",
8530379,Alpboden,
8572921,"Wolfenschiessen, Burgholz",
8530376,Fellboden,
8574074,"Speicher, Reutenen",SPRE
8579534,"Oberurnen, im Grütli",OUGR
8508746,"Flüeli-Ranft, Chilchweg",
