validdate,leisure_biking:idx,snow_depth:cm,t_2m:C,precip_24h:mm,weather_symbol_1h:idx,effective_cloud_cover:octas
2021-02-27T14:00:00Z,0.30769232,62.646152,6.4076924,0.21230769,1.4615384,1.3076923
2021-02-28T14:00:00Z,0.34615386,61.661537,6.3846154,0.0,1.0,0.0
2021-03-01T14:00:00Z,0.34615386,61.50769,6.453846,0.0,1.0,0.0
2021-03-02T14:00:00Z,0.36153847,61.26154,7.9076924,0.0,1.6923077,2.7692308
2021-03-03T14:00:00Z,0.3923077,61.00769,8.638462,0.0,1.1538461,0.6923077
2021-03-04T14:00:00Z,0.28846154,59.692307,6.4615383,0.15153846,2.3846154,3.6153846
2021-03-05T14:00:00Z,0.25384614,60.29231,4.315385,1.3030769,3.2307692,2.6153846
2021-03-06T14:00:00Z,0.25384614,59.66923,3.4230769,0.40384614,1.2307693,0.61538464
2021-03-07T14:00:00Z,0.17692308,59.576923,3.7538462,0.38923076,3.0,3.0
2021-03-08T14:00:00Z,0.3,59.453846,4.1076922,0.5784615,1.3846154,1.0
2021-03-09T14:00:00Z,0.20769231,59.423077,2.646154,0.6046154,5.3076925,8.0
2021-03-10T14:00:00Z,0.33846155,59.26923,3.5846152,0.08615384,1.3076923,0.84615386
2021-03-11T14:00:00Z,0.18461539,57.6,7.9461536,0.58692306,3.4615386,6.230769
2021-03-12T14:00:00Z,0.26923075,59.153847,4.4384613,7.352308,3.0769231,2.6153846
2021-03-13T14:00:00Z,0.20384616,58.392307,5.1307693,0.49846154,3.1538463,5.076923
2021-03-14T14:00:00Z,0.092307694,62.784615,1.1230769,7.1923075,5.0,6.6923075
2021-03-15T14:00:00Z,0.1,73.738464,2.476923,10.95,5.6153846,6.769231
2021-03-16T14:00:00Z,0.20384616,80.42308,0.8230769,3.9046154,3.3846154,5.3846154
2021-03-17T14:00:00Z,0.17307693,80.215385,1.5461539,1.8376923,3.3076923,4.6923075
2021-03-18T14:00:00Z,0.17307691,78.638466,-0.14615384,1.0161538,1.3076923,0.9230769
2021-03-19T14:00:00Z,0.17692308,76.9,0.1692308,0.41769233,3.9230769,6.1538463
2021-03-20T14:00:00Z,0.1423077,76.0,-0.53846157,0.06846154,1.0,0.15384616
2021-03-21T14:00:00Z,0.23846154,75.43077,1.9384615,0.21846154,3.6153846,6.1538463
2021-03-22T14:00:00Z,0.2423077,75.04615,2.9538462,0.14846154,2.7692308,4.923077
2021-03-23T14:00:00Z,0.32307693,73.43846,5.276923,0.0,1.0,0.0
2021-03-24T14:00:00Z,0.3846154,71.707695,7.276923,0.0,1.0,0.0
2021-03-25T14:00:00Z,0.28846154,69.83846,7.9692307,0.00076923077,2.4615386,4.1538463
2021-03-26T14:00:00Z,0.36923075,67.13846,8.023077,0.005384615,2.2307692,3.4615386
2021-03-27T14:00:00Z,0.2769231,66.46923,5.276923,5.5915384,2.1538463,3.0
2021-03-28T14:00:00Z,0.42307693,64.638466,8.2,0.0,1.6923077,2.5384614
2021-03-29T14:00:00Z,0.5,62.015385,12.053846,0.0,1.1538461,0.7692308
2021-03-30T14:00:00Z,0.48846152,58.70769,13.753846,0.0023076923,2.0,2.8461537
2021-03-31T14:00:00Z,0.5076923,56.05385,13.346154,0.0015384615,1.0,0.0
2021-04-01T14:00:00Z,0.5192308,52.82308,13.546154,0.003076923,1.0,0.0
2021-04-02T14:00:00Z,0.46153846,49.153847,12.161538,0.13076924,1.2307693,0.6923077
2021-04-03T14:00:00Z,0.31923077,48.569233,5.9615383,0.011538461,1.6153846,1.6923077
2021-04-04T14:00:00Z,0.38846153,48.223076,6.7615385,0.0,1.0769231,0.23076923
2021-04-05T14:00:00Z,0.29999998,46.26923,8.2615385,0.0,3.6153846,7.0
2021-04-06T14:00:00Z,0.1423077,47.892307,-0.7923077,2.1446154,2.2307692,3.3076923
2021-04-07T14:00:00Z,0.11923077,48.2,-1.5384616,1.0184616,2.6153846,4.230769
2021-04-08T14:00:00Z,0.34615386,47.984615,4.023077,0.023076924,1.0,0.0
2021-04-09T14:00:00Z,0.30384615,46.476925,7.1076922,0.0015384615,2.4615386,3.9230769
2021-04-10T14:00:00Z,0.31538463,45.43846,7.584615,0.65,2.6153846,4.3846154
2021-04-11T14:00:00Z,0.2423077,44.138462,7.692308,1.3446155,3.4615386,4.076923
2021-04-12T14:00:00Z,0.13846155,47.746155,3.3923075,11.4800005,5.3076925,6.0
2021-04-13T14:00:00Z,0.21153846,47.276924,2.8615384,0.7507692,2.2307692,2.4615386
2021-04-14T14:00:00Z,0.2923077,47.192307,3.4538462,0.03,1.3076923,0.9230769
2021-04-15T14:00:00Z,0.21153846,47.76154,2.9384615,2.3100002,3.6153846,5.3076925
2021-04-16T14:00:00Z,0.31153846,47.607693,4.169231,0.2530769,1.7692307,0.9230769
2021-04-17T14:00:00Z,0.33846155,47.146152,5.1769233,0.0,2.6153846,4.5384617
2021-04-18T14:00:00Z,0.30769232,46.73077,5.2846155,0.35076922,1.6153846,1.7692307
2021-04-19T14:00:00Z,0.37307692,46.284615,6.3384614,0.14692308,1.8461539,2.3076923
2021-04-20T14:00:00Z,0.43076923,45.276924,7.976923,0.22461538,1.0,0.07692308
2021-04-21T14:00:00Z,0.30384615,43.284615,8.776923,1.0207692,3.4615386,3.3076923
2021-04-22T14:00:00Z,0.43461537,40.492306,9.376923,1.3830769,1.1538461,0.46153846
2021-04-23T14:00:00Z,0.44230768,37.43077,10.384615,0.08384615,1.0,0.15384616
2021-04-24T14:00:00Z,0.46923077,35.907692,11.746154,0.0,1.2307693,0.7692308
2021-04-25T14:00:00Z,0.52307695,32.623077,12.0,0.0,1.3076923,1.3076923
2021-04-26T14:00:00Z,0.3653846,32.161537,10.0,3.3592308,3.0,5.3846154
2021-04-27T14:00:00Z,0.48846152,29.046154,10.230769,0.0,1.6923077,1.9230769
2021-04-28T14:00:00Z,0.22307692,28.307693,10.084616,0.5446154,5.4615383,7.769231
2021-04-29T14:00:00Z,0.21923077,27.523077,8.438461,5.166154,4.4615383,7.8461537
2021-04-30T14:00:00Z,0.10769231,24.938461,9.1,12.406154,4.3076925,7.8461537
2021-05-01T14:00:00Z,0.0,24.407692,7.692308,16.201538,5.1538463,8.0
2021-05-02T14:00:00Z,0.21153846,26.96923,6.6076922,17.612307,3.7692308,4.769231
2021-05-03T14:00:00Z,0.45384616,25.246155,8.138461,0.48615384,1.0,0.0
2021-05-04T14:00:00Z,0.38846153,23.246155,10.107693,0.00076923077,2.6153846,4.3076925
2021-05-05T14:00:00Z,0.30769232,23.346153,7.3230767,6.3430767,3.3076923,4.076923
2021-05-06T14:00:00Z,0.12692307,22.138462,7.5076923,5.4215384,4.923077,8.0
2021-05-07T14:00:00Z,0.30769232,23.26923,7.676923,12.809231,4.1538463,4.3076925
2021-05-08T14:00:00Z,0.5538461,20.715384,11.607693,0.15307693,2.0769231,3.5384614
2021-05-09T14:00:00Z,0.59615386,17.930769,14.476923,0.013846154,1.8461539,2.3846154
2021-05-10T14:00:00Z,0.17692308,17.484615,11.730769,6.233846,5.4615383,7.769231
2021-05-11T14:00:00Z,0.015384615,16.515385,8.746154,30.991539,5.923077,8.0
2021-05-12T14:00:00Z,0.44615385,16.307693,10.192307,9.471539,3.2307692,5.923077
2021-05-13T14:00:00Z,0.2576923,14.976923,9.361539,3.886154,4.6923075,6.076923
2021-05-14T14:00:00Z,0.16923077,13.33077,10.1,2.876923,5.8461537,5.230769
2021-05-15T14:00:00Z,0.13076922,13.146153,8.13077,4.1592307,6.769231,8.0
2021-05-16T14:00:00Z,0.21153846,12.2384615,8.915384,11.825384,4.3846154,7.923077
2021-05-17T14:00:00Z,0.23846154,12.392307,9.307693,11.514615,4.769231,5.769231
2021-05-18T14:00:00Z,0.42692307,11.230769,10.484615,4.81,3.6153846,5.5384617
2021-05-19T14:00:00Z,0.24615385,11.415385,8.353847,5.190769,5.8461537,5.0
2021-05-20T14:00:00Z,0.48076922,9.607692,10.153846,1.41,1.6153846,1.5384616
2021-05-21T14:00:00Z,0.16153847,8.823077,10.692307,4.536154,4.6153846,7.230769
2021-05-22T14:00:00Z,0.44615385,8.692307,11.061539,15.28923,2.8461537,4.8461537
2021-05-23T14:00:00Z,0.56153846,8.984615,10.7615385,11.807693,1.3846154,1.4615384
2021-05-24T14:00:00Z,0.16538462,8.253846,10.323077,5.5176926,4.4615383,7.8461537
2021-05-25T14:00:00Z,0.45000002,8.13077,9.6,5.192308,1.3076923,0.9230769
2021-05-26T14:00:00Z,0.48076922,6.969231,11.853847,0.0023076923,3.2307692,5.8461537
2021-05-27T14:00:00Z,0.45000002,6.1846156,10.838462,1.9423077,3.0769231,4.769231
2021-05-28T14:00:00Z,0.74615383,5.0923076,14.692307,0.0,1.0769231,0.30769232
2021-05-29T14:00:00Z,0.49615386,5.0461535,13.684615,0.06615385,3.6923077,4.076923
2021-05-30T14:00:00Z,0.6769231,3.7923076,14.092308,0.17615385,1.0769231,0.23076923
2021-05-31T14:00:00Z,0.74615383,2.8076923,14.961538,0.0,1.0769231,0.53846157
2021-06-01T14:00:00Z,0.7923077,2.1307693,16.953846,0.0,1.0,0.0
2021-06-02T14:00:00Z,0.36153847,2.0538461,15.561539,1.2230769,6.0,6.4615383
2021-06-03T14:00:00Z,0.8,1.3538462,18.023077,0.43384615,1.7692307,2.6153846
2021-06-04T14:00:00Z,0.7807692,0.4,18.507692,1.0153846,1.4615384,1.3076923
2021-06-05T14:00:00Z,0.2653846,0.25384614,14.015385,13.73,5.923077,7.6153846
2021-06-06T14:00:00Z,0.5538461,0.16153845,15.415384,5.604615,3.3076923,5.6153846
2021-06-07T14:00:00Z,0.2,0.092307694,15.961538,2.7746153,6.6153846,6.8461537
2021-06-08T14:00:00Z,0.27692306,0.0,16.946154,8.427692,7.0,4.3846154
2021-06-09T14:00:00Z,0.18461539,0.0,17.692308,4.8638463,6.6923075,4.3846154
2021-06-10T14:00:00Z,0.81153846,0.0,18.9,5.84,2.0,1.3846154
2021-06-11T14:00:00Z,0.88461536,0.0,19.353846,0.81,1.3076923,1.4615384
2021-06-12T14:00:00Z,0.8230769,0.0,20.007692,0.009230769,2.1538463,3.5384614
2021-06-13T14:00:00Z,0.8,0.0,20.746155,0.0,1.0,0.07692308
2021-06-14T14:00:00Z,0.9,0.0,22.1,0.0015384615,1.0,0.0
2021-06-15T14:00:00Z,0.88846153,0.0,22.26923,0.0,1.4615384,2.0769231
2021-06-16T14:00:00Z,0.84615386,0.0,22.184616,0.0,2.8461537,5.0
2021-06-17T14:00:00Z,0.88846153,0.0,23.23077,0.98,2.1538463,3.1538463
2021-06-18T14:00:00Z,0.77692306,0.0,23.761538,5.656923,2.4615386,1.3076923
2021-06-19T14:00:00Z,0.85384613,0.0,24.707691,0.94846153,1.7692307,2.8461537
2021-06-20T14:00:00Z,0.29615384,0.0,22.23846,3.320769,7.6923075,5.6923075
2021-06-21T14:00:00Z,0.73846155,0.0,20.584616,13.551538,3.3076923,2.6153846
2021-06-22T14:00:00Z,0.7192308,0.0,18.653847,15.44,2.2307692,3.3076923
2021-06-23T14:00:00Z,0.61538464,0.0,19.753845,11.304615,5.230769,7.0
2021-06-24T14:00:00Z,0.45384616,0.0,16.7,9.176923,4.8461537,5.1538463
2021-06-25T14:00:00Z,0.74230766,0.0,16.853846,9.871538,2.2307692,3.4615386
2021-06-26T14:00:00Z,0.88846153,0.0,19.73846,0.30076924,1.5384616,1.7692307
2021-06-27T14:00:00Z,0.7923077,0.0,21.538462,0.22153845,2.3076923,3.3076923
2021-06-28T14:00:00Z,0.54615384,0.0,22.16154,5.873077,5.076923,4.230769
2021-06-29T14:00:00Z,0.21153846,0.0,18.23077,32.978462,8.692307,3.6153846
2021-06-30T14:00:00Z,0.46153846,0.0,15.346154,10.67,3.8461537,4.923077
2021-07-01T14:00:00Z,0.6423077,0.0,16.953846,2.383846,2.3076923,3.6923077
2021-07-02T14:00:00Z,0.85,0.0,18.584616,0.032307692,1.1538461,0.53846157
2021-07-03T14:00:00Z,0.0,0.0,18.384615,2.8576922,5.4615383,8.0
2021-07-04T14:00:00Z,0.1923077,0.0,16.592308,5.6923075,5.6923075,8.0
2021-07-05T14:00:00Z,0.7076923,0.0,20.107693,4.3,2.6923077,4.6153846
2021-07-06T14:00:00Z,0.53846157,0.0,19.653847,4.66,3.8461537,6.5384617
2021-07-07T14:00:00Z,0.6,0.0,18.146154,12.286154,3.8461537,5.0
2021-07-08T14:00:00Z,0.023076924,0.0,15.053846,38.564617,8.461538,7.4615383
2021-07-09T14:00:00Z,0.8076923,0.0,17.8,21.404615,1.6923077,1.8461539
2021-07-10T14:00:00Z,0.8384615,0.0,20.707693,0.0,1.2307693,1.2307693
2021-07-11T14:00:00Z,0.86153847,0.0,19.015385,9.456154,1.0769231,0.46153846
2021-07-12T14:00:00Z,0.73846155,0.0,21.523077,0.071538456,2.4615386,3.9230769
2021-07-13T14:00:00Z,0.19615385,0.0,13.707692,32.863075,7.6923075,7.923077
2021-07-14T14:00:00Z,0.49615386,0.0,14.515385,14.1753845,4.3846154,5.076923
2021-07-15T14:00:00Z,0.2423077,0.0,14.961538,12.624616,4.923077,7.5384617
2021-07-16T14:00:00Z,0.41923076,0.0,16.73846,8.595385,5.0,6.769231
2021-07-17T14:00:00Z,0.7153846,0.0,19.861538,0.8576923,2.3076923,3.6923077
2021-07-18T14:00:00Z,0.6769231,0.0,20.553846,0.64307696,2.2307692,3.3846154
2021-07-19T14:00:00Z,0.84615386,0.0,22.330769,0.039230768,1.0,0.0
2021-07-20T14:00:00Z,0.88846153,0.0,22.038462,0.0,1.0,0.07692308
2021-07-21T14:00:00Z,0.81923074,0.0,22.269232,0.09615385,2.2307692,1.5384616
2021-07-22T14:00:00Z,0.8230769,0.0,21.892307,2.910769,1.5384616,1.5384616
2021-07-23T14:00:00Z,0.8423077,0.0,23.192308,3.2292309,2.2307692,0.9230769
